Student Name,Intro to Programming,Databases,Computer Architecture,Ethics in Computer Science,Advanced Programming,Puzzles and Problem Solving
James Jameson,80,70,55,12,50,80
Peter Parker,50,55,50,50,50,50
Mary Janeson,40,40,40,23,40,45
Felicia Hardiman,70,67,78,70,56,80
Lori Grimes,50,30,35,30,30,30
Anthony Stones,90,90,65,78,90,80
Enda Lynch,80.00,70.00,60.00,50.00,40.00,90.00
Colm Lynch,80.00,60.00,40.00,80.00,90.00,52.00
ahga sajchgskj,402.00,0.00,0.00,40.00,90.00,0.00
asas,402.00,0.00,0.00,40.00,90.00,0.00
John Mac,5.00,54.00,50.00,70.00,60.00,70.00
Jen Lynch,80.00,90.00,90.00,97.00,58.00,40.00
Ken Barbie,80.00,70.00,60.00,50.00,40.00,30.00
Oppie,90.00,80.00,90.00,50.00,36.00,64.00
